ner,sample,component,label
Accenture Labs,Accenture Ventures,74,1
Accenture Labs,Accenture Canada Holdings Inc.,74,1
Accenture Labs,Accenture Leadership,74,1
Accenture Labs,Accenture Federal Services,74,1
Accenture Labs,Accenture Technology,74,1
"Accenture Communications, Media, and Technology",Accenture Operations,74,1
"Accenture Communications, Media, and Technology",Accenture Global Solutions Limited,74,1
"Accenture Communications, Media, and Technology",Accenture,74,1
"Accenture Communications, Media, and Technology",Accenture Research,74,1
"Accenture Communications, Media, and Technology",Accenture Ventures,74,1
"Accenture Communications, Media, and Technology",Accenture Canada Holdings Inc.,74,1
"Accenture Communications, Media, and Technology",Accenture Leadership,74,1
"Accenture Communications, Media, and Technology",Accenture Federal Services,74,1
"Accenture Communications, Media, and Technology",Accenture Technology,74,1
Accenture Operations,Accenture Global Solutions Limited,74,1
Accenture Operations,Accenture,74,1
Accenture Operations,Accenture Research,74,1
Accenture Operations,Accenture Ventures,74,1
Accenture Operations,Accenture Canada Holdings Inc.,74,1
Accenture Operations,Accenture Leadership,74,1
Accenture Operations,Accenture Federal Services,74,1
Accenture Operations,Accenture Technology,74,1
Accenture Global Solutions Limited,Accenture,74,1
Accenture Global Solutions Limited,Accenture Research,74,1
Accenture Global Solutions Limited,Accenture Ventures,74,1
Accenture Global Solutions Limited,Accenture Canada Holdings Inc.,74,1
Accenture Global Solutions Limited,Accenture Leadership,74,1
Accenture Global Solutions Limited,Accenture Federal Services,74,1
Accenture Global Solutions Limited,Accenture Technology,74,1
Accenture,Accenture Research,74,1
Accenture,Accenture Ventures,74,1
Accenture,Accenture Canada Holdings Inc.,74,1
Accenture,Accenture Leadership,74,1
Accenture,Accenture Federal Services,74,1
Accenture,Accenture Technology,74,1
Accenture Research,Accenture Ventures,74,1
Accenture Research,Accenture Canada Holdings Inc.,74,1
Accenture Research,Accenture Leadership,74,1
Accenture Research,Accenture Federal Services,74,1
Accenture Research,Accenture Technology,74,1
Accenture Ventures,Accenture Canada Holdings Inc.,74,1
Accenture Ventures,Accenture Leadership,74,1
Accenture Ventures,Accenture Federal Services,74,1
Accenture Ventures,Accenture Technology,74,1
Accenture Canada Holdings Inc.,Accenture Leadership,74,1
Accenture Canada Holdings Inc.,Accenture Federal Services,74,1
Accenture Canada Holdings Inc.,Accenture Technology,74,1
Accenture Leadership,Accenture Federal Services,74,1
Accenture Leadership,Accenture Technology,74,1
Accenture Federal Services,Accenture Technology,74,1
Accident & Health,Accident and Health,75,1
Accident & Health,Accident & Health ( A & H ),75,1
Accident and Health,Accident & Health ( A & H ),75,1
Accountable Care Organization,Accountable Care Organizations,0,1
Accounting Standards Codification ( ASC ),ASC,77,1
ASC,Accounting Standards Codification ( ASC ) 606,77,1
Accredo ( r ),Accredo,79,1
Acelity,Acelity Inc.,80,1
LAL-D,Acid Lipase Deficiency ( LAL-D ),83,1
Acme Brick Company,Acme Brick,84,1
Acme Brick Company,Acme Brick ( r ),84,1
Acme Brick Company,Acme West,84,1
Acme Brick Company,Acme,84,1
Acme Brick,Acme Brick ( r ),84,1
Acme Brick,Acme West,84,1
Acme Brick,Acme,84,1
Acme Brick ( r ),Acme West,84,1
Acme Brick ( r ),Acme,84,1
Acme West,Acme,84,1
"Acorda Therapeutics, Inc. ( Acorda )",Acorda,86,1
Acrobat Standard DC,Acrobat Reader,87,1
Acrobat Standard DC,Acrobat Pro DC,87,1
Acrobat Standard DC,Acrobat,87,1
Acrobat Reader,Acrobat Pro DC,87,1
Acrobat Reader,Acrobat,87,1
Acrobat Pro DC,Acrobat,87,1
Act ( CCPA ),CCPA,88,1
CCPA,California Consumer Privacy Act,88,1
CCPA,California Consumer Protection Act ( CCPA ),88,1
CCPA,California Consumer Privacy Act of 2018 ( CCPA ),88,1
CCPA,California Consumer Privacy Act ( CCPA ),88,1
CCPA,California ' s Consumer Privacy Act ( CCPA ),88,1
CCPA,California Consumer Privacy Act of 2018,88,1
Actavis,Actavis LLC,89,1
ActiveCaptain,ActiveCaptain ( r ),90,1
ACAP,Adaptive Compute Acceleration Platform ( ACAP ),92,1
CAM,Adjustment Mechanism ( CAM ),94,1
Admiral Insurance Company,Admiral Insurance,95,1
"Advance Auto Parts, Inc.",Advance Auto Parts ( r ),97,1
AMA,Advanced Measurement Approach ( AMA ),98,1
Aegis Combat System ( Aegis ),Aegis,101,1
MFC,"Aeronautics, Missiles and Fire Control ( MFC )",102,1
Aetna,Aetna Inc.,103,1
"Affymetrix, Inc","Affymetrix, Inc.",105,1
AAMJ,Aflac Asset Management Japan Ltd. ( AAMJ ),106,1
Africa ( EMEA ),EMEA,108,1
AgVenture ( r ),AgVenture,110,1
ABD,"Aged, Blind and Disabled ( ABD )",111,1
AM,Aggregation Method ( AM ),113,1
Agiletics,"Agiletics, Inc.",115,1
Agreement ( Technology Agreement ),Technology Agreement,116,1
WSA,Agreement ( WSA ),117,1
EBAs,Agreements ( EBAs ),118,1
"Air Line Pilots Association, International ( ALPA )",ALPA,120,1
ALPA,Air Line Pilots Associations ( ALPA ),120,1
AirPods,AirPods ( r ),121,1
AMFA,Aircraft Mechanics Fraternal Association ( AMFA ),123,1
Alabama Power Company,Alabama Power,126,1
Alaska Airlines Visa Signature,Alaska Air Cargo,128,1
Alaska Airlines Visa Signature,"Alaska Air Group, Inc",128,1
Alaska Airlines Visa Signature,"Alaska Airlines, Inc",128,1
Alaska Airlines Visa Signature,Alaska Airlines,128,1
Alaska Airlines Visa Signature,"Alaska Airlines, Inc.",128,1
Alaska Air Cargo,"Alaska Air Group, Inc",128,1
Alaska Air Cargo,"Alaska Airlines, Inc",128,1
Alaska Air Cargo,Alaska Airlines,128,1
Alaska Air Cargo,"Alaska Airlines, Inc.",128,1
"Alaska Air Group, Inc","Alaska Airlines, Inc",128,1
"Alaska Air Group, Inc",Alaska Airlines,128,1
"Alaska Air Group, Inc","Alaska Airlines, Inc.",128,1
"Alaska Airlines, Inc",Alaska Airlines,128,1
"Alaska Airlines, Inc","Alaska Airlines, Inc.",128,1
Alaska Airlines,"Alaska Airlines, Inc.",128,1
AGDC,Alaska Gasline Development Corporation ( AGDC ),129,1
AGDC,Corporation ( AGDC ),129,1
Albemarle Corporation,Albemarle,131,1
Alcoa ( r ) Wheels,Alcoa,132,1
Alcoa,Alcoa Corporation,132,1
Alcoa,Alcoa Inc,132,1
Alcoa,Alcoa Inc.,132,1
Alere Inc.,Alere,133,1
Alexa,Amazon ( r ) Alexa,135,1
Alexa,Amazon Alexa,135,1
Amazon ( r ) Alexa,Amazon Alexa,135,1
Alexia,Alexia ( r ),136,1
Alforex ( r ),Alforex,137,1
Alkermes,Alkermes plc ( Alkermes ),138,1
Alkermes,"Alkermes, Inc.",138,1
Allegro,Allegro ( r ),140,1
Allied,"Allied Waste Industries, Inc. ( Allied )",142,1
Allstate,Allstate ( r ),143,1
Allstate,Allstate Protection Plans,143,1
Allstate,Allstate Financial Businesses of AIC,143,1
Allstate,Allstate Personal Lines,143,1
Allstate,Allstate SM Protection,143,1
Allstate,The Allstate Corporation,143,1
Allstate,Allstate Insurance,143,1
Allstate,Allstate Insurance Company,143,1
Allstate,Allstate Life,143,1
Allstate,Allstate Mobile,143,1
Allstate,Allstate Investments,143,1
Allstate,Allstate Identity Protection,143,1
Allstate,Allstate ( including Esurance ),143,1
Allstate,Allstate SM Identity Protection,143,1
Allstate,Allstate Protection,143,1
Allstate,Allstate Life Insurance Company,143,1
Allstate,Allstate Financial,143,1
Allstate ( r ),Allstate Protection Plans,143,1
Allstate ( r ),Allstate Financial Businesses of AIC,143,1
Allstate ( r ),Allstate Personal Lines,143,1
Allstate ( r ),Allstate SM Protection,143,1
Allstate ( r ),The Allstate Corporation,143,1
Allstate ( r ),Allstate Insurance,143,1
Allstate ( r ),Allstate Insurance Company,143,1
Allstate ( r ),Allstate Life,143,1
Allstate ( r ),Allstate Mobile,143,1
Allstate ( r ),Allstate Investments,143,1
Allstate ( r ),Allstate Identity Protection,143,1
Allstate ( r ),Allstate ( including Esurance ),143,1
Allstate ( r ),Allstate SM Identity Protection,143,1
Allstate ( r ),Allstate Protection,143,1
Allstate ( r ),Allstate Life Insurance Company,143,1
Allstate ( r ),Allstate Financial,143,1
Allstate Protection Plans,Allstate Financial Businesses of AIC,143,1
Allstate Protection Plans,Allstate Personal Lines,143,1
Allstate Protection Plans,Allstate SM Protection,143,1
Allstate Protection Plans,The Allstate Corporation,143,1
Allstate Protection Plans,Allstate Insurance,143,1
Allstate Protection Plans,Allstate Insurance Company,143,1
Allstate Protection Plans,Allstate Life,143,1
Allstate Protection Plans,Allstate Mobile,143,1
Allstate Protection Plans,Allstate Investments,143,1
Allstate Protection Plans,Allstate Identity Protection,143,1
Allstate Protection Plans,Allstate ( including Esurance ),143,1
Allstate Protection Plans,Allstate SM Identity Protection,143,1
Allstate Protection Plans,Allstate Protection,143,1
Allstate Protection Plans,Allstate Life Insurance Company,143,1
Allstate Protection Plans,Allstate Financial,143,1
Allstate Protection Plans,Allstate Protection Plans ( r ),143,1
Allstate Financial Businesses of AIC,Allstate Personal Lines,143,1
Allstate Financial Businesses of AIC,Allstate SM Protection,143,1
Allstate Financial Businesses of AIC,The Allstate Corporation,143,1
Allstate Financial Businesses of AIC,Allstate Insurance,143,1
Allstate Financial Businesses of AIC,Allstate Insurance Company,143,1
Allstate Financial Businesses of AIC,Allstate Life,143,1
Allstate Financial Businesses of AIC,Allstate Mobile,143,1
Allstate Financial Businesses of AIC,Allstate Investments,143,1
Allstate Financial Businesses of AIC,Allstate Identity Protection,143,1
Allstate Financial Businesses of AIC,Allstate ( including Esurance ),143,1
Allstate Financial Businesses of AIC,Allstate SM Identity Protection,143,1
Allstate Financial Businesses of AIC,Allstate Protection,143,1
Allstate Financial Businesses of AIC,Allstate Life Insurance Company,143,1
Allstate Financial Businesses of AIC,Allstate Financial,143,1
Allstate Personal Lines,Allstate SM Protection,143,1
Allstate Personal Lines,The Allstate Corporation,143,1
Allstate Personal Lines,Allstate Insurance,143,1
Allstate Personal Lines,Allstate Insurance Company,143,1
Allstate Personal Lines,Allstate Life,143,1
Allstate Personal Lines,Allstate Mobile,143,1
Allstate Personal Lines,Allstate Investments,143,1
Allstate Personal Lines,Allstate Identity Protection,143,1
Allstate Personal Lines,Allstate ( including Esurance ),143,1
Allstate Personal Lines,Allstate SM Identity Protection,143,1
Allstate Personal Lines,Allstate Protection,143,1
Allstate Personal Lines,Allstate Life Insurance Company,143,1
Allstate Personal Lines,Allstate Financial,143,1
Allstate SM Protection,The Allstate Corporation,143,1
Allstate SM Protection,Allstate Insurance,143,1
Allstate SM Protection,Allstate Insurance Company,143,1
Allstate SM Protection,Allstate Life,143,1
Allstate SM Protection,Allstate Mobile,143,1
Allstate SM Protection,Allstate Investments,143,1
Allstate SM Protection,Allstate Identity Protection,143,1
Allstate SM Protection,Allstate ( including Esurance ),143,1
Allstate SM Protection,Allstate SM Identity Protection,143,1
Allstate SM Protection,Allstate Protection,143,1
Allstate SM Protection,Allstate Life Insurance Company,143,1
Allstate SM Protection,Allstate Financial,143,1
The Allstate Corporation,Allstate Insurance,143,1
The Allstate Corporation,Allstate Insurance Company,143,1
The Allstate Corporation,Allstate Life,143,1
The Allstate Corporation,Allstate Mobile,143,1
The Allstate Corporation,Allstate Investments,143,1
The Allstate Corporation,Allstate Identity Protection,143,1
The Allstate Corporation,Allstate ( including Esurance ),143,1
The Allstate Corporation,Allstate SM Identity Protection,143,1
The Allstate Corporation,Allstate Protection,143,1
The Allstate Corporation,Allstate Life Insurance Company,143,1
The Allstate Corporation,Allstate Financial,143,1
Allstate Insurance,Allstate Insurance Company,143,1
Allstate Insurance,Allstate Life,143,1
Allstate Insurance,Allstate Mobile,143,1
Allstate Insurance,Allstate Investments,143,1
Allstate Insurance,Allstate Identity Protection,143,1
Allstate Insurance,Allstate ( including Esurance ),143,1
Allstate Insurance,Allstate SM Identity Protection,143,1
Allstate Insurance,Allstate Protection,143,1
Allstate Insurance,Allstate Life Insurance Company,143,1
Allstate Insurance,Allstate Financial,143,1
Allstate Insurance Company,Allstate Life,143,1
Allstate Insurance Company,Allstate Mobile,143,1
Allstate Insurance Company,Allstate Investments,143,1
Allstate Insurance Company,Allstate Identity Protection,143,1
Allstate Insurance Company,Allstate ( including Esurance ),143,1
Allstate Insurance Company,Allstate SM Identity Protection,143,1
Allstate Insurance Company,Allstate Protection,143,1
Allstate Insurance Company,Allstate Life Insurance Company,143,1
Allstate Insurance Company,Allstate Financial,143,1
Allstate Life,Allstate Mobile,143,1
Allstate Life,Allstate Investments,143,1
Allstate Life,Allstate Identity Protection,143,1
Allstate Life,Allstate ( including Esurance ),143,1
Allstate Life,Allstate SM Identity Protection,143,1
Allstate Life,Allstate Protection,143,1
Allstate Life,Allstate Life Insurance Company,143,1
Allstate Life,Allstate Financial,143,1
Allstate Mobile,Allstate Investments,143,1
Allstate Mobile,Allstate Identity Protection,143,1
Allstate Mobile,Allstate ( including Esurance ),143,1
Allstate Mobile,Allstate SM Identity Protection,143,1
Allstate Mobile,Allstate Protection,143,1
Allstate Mobile,Allstate Life Insurance Company,143,1
Allstate Mobile,Allstate Financial,143,1
Allstate Investments,Allstate Identity Protection,143,1
Allstate Investments,Allstate ( including Esurance ),143,1
Allstate Investments,Allstate SM Identity Protection,143,1
Allstate Investments,Allstate Protection,143,1
Allstate Investments,Allstate Life Insurance Company,143,1
Allstate Investments,Allstate Financial,143,1
Allstate Identity Protection,Allstate ( including Esurance ),143,1
Allstate Identity Protection,Allstate SM Identity Protection,143,1
Allstate Identity Protection,Allstate Protection,143,1
Allstate Identity Protection,Allstate Life Insurance Company,143,1
Allstate Identity Protection,Allstate Financial,143,1
Allstate Identity Protection,Allstate Identity Protection ( r ),143,1
Allstate ( including Esurance ),Allstate SM Identity Protection,143,1
Allstate ( including Esurance ),Allstate Protection,143,1
Allstate ( including Esurance ),Allstate Life Insurance Company,143,1
Allstate ( including Esurance ),Allstate Financial,143,1
Allstate SM Identity Protection,Allstate Protection,143,1
Allstate SM Identity Protection,Allstate Life Insurance Company,143,1
Allstate SM Identity Protection,Allstate Financial,143,1
Allstate Protection,Allstate Life Insurance Company,143,1
Allstate Protection,Allstate Financial,143,1
Allstate Life Insurance Company,Allstate Financial,143,1
Allstate Benefits,Allstate Benefits ( r ),144,1
Allstate Dealer Services,Allstate Dealer Services ( r ),145,1
Allstate Roadside Services ( r ),Allstate Roadside Services,148,1
AlphaPlex,AlphaPlex ( r ),152,1
Alpolic ( Mitsubishi Corporation ),Mitsubishi Corporation,154,1
Mitsubishi Corporation,Mitsubishi,154,1
Altera Corporation,Altera,155,1
AIFMD,Alternative Investment Fund Managers Directive ( AIFMD ),156,1
Altium Packaging LLC,Altium Packaging,157,1
Altra,Altra ( r ),158,1
AD,Alzheimer ' s disease ( AD ),160,1
AmBisome ( r ),AmBisome,161,1
Amazon. com,"Amazon. com, Inc",163,1
Amazon. com,"Amazon. com, Inc.",163,1
AAN,American Academy of Neurology ( AAN ),165,1
American Airlines Group Inc. ( AAG ),AAG,166,1
"American Airlines, Inc.",American Airlines,167,1
ACLA,American Clinical Laboratory Association ( ACLA ),168,1
AEP,"American Electric Power Company, Inc. ( AEP )",170,1
AENB,American Express National Bank ( AENB ),173,1
Aflac New York,American Family Life Assurance Company of New York ( Aflac New York ),175,1
American Olean,American Olean ( r ),178,1
American Proteins,"American Proteins, Inc.",179,1
American Society of Clinical Oncology ( ASCO ),ASCO,181,1
ASME,American Society of Material Engineers ( ASME ),182,1
American Standard ( r ),American Standard,183,1
American Standard,American Standard ( r ) Heating & Air Conditioning,183,1
American Standard,American Standard Inc.,183,1
American Standard,"American Standard, Inc.",183,1
American Tower Corporation ( American Tower ),American Tower Corporation,184,1
American Tower Corporation ( American Tower ),"American Tower International, Inc.",184,1
American Tower Corporation ( American Tower ),American Towers LLC,184,1
American Tower Corporation ( American Tower ),American Tower,184,1
American Tower Corporation,"American Tower International, Inc.",184,1
American Tower Corporation,American Towers LLC,184,1
American Tower Corporation,American Tower,184,1
"American Tower International, Inc.",American Towers LLC,184,1
"American Tower International, Inc.",American Tower,184,1
American Towers LLC,American Tower,184,1
Americans with Disabilities Act,Americans with Disabilities Act of 1990 ( ADA ),185,1
Americans with Disabilities Act,Americans with Disabilities Act of 1990,185,1
Americans with Disabilities Act of 1990 ( ADA ),Americans with Disabilities Act of 1990,185,1
SPS,Ameriprise Strategic Portfolio Service ( SPS ) Advantage,186,1
Amgen Inc.,Amgen,188,1
Amgen,"Amgen, Inc",188,1
Amgen,"Amgen, Inc.",188,1
"Amkor Technology, Inc.",Amkor Technology,189,1
Amphenol Corporation,Amphenol,190,1
Amyotrophic Lateral Sclerosis ( ALS ),ALS,191,1
Anadarko Petroleum Corporation ( Anadarko ),Anadarko,192,1
Analog Devices,"Analog Devices, Inc.",193,1
Google ' s Android,Android ( r ),195,1
Google ' s Android,Android 10,195,1
Google ' s Android,Android,195,1
Android ( r ),Android 10,195,1
Android ( r ),Android,195,1
Android 10,Android,195,1
"Anhui Jianghuai Automobile Co., Ltd.","Anhui Jinhe Industry Co., Ltd",197,1
Animal Drug Application ( NADA ),NADA,198,1
Anthem,"Anthem, Inc.",200,1
Anti-Bribery,Anti-Bribery Laws,201,1
Anti-Kickback Law,Anti-Kickback,202,1
Anti-Kickback,Anti-Kickback Laws,202,1
Aon,Aon Corporation,204,1
Apache,Apache Corporation,205,1
Apotex,Apotex Inc.,208,1
App Store,Apple App Store,209,1
App Store,Apple Store,209,1
App Store,iOS App Store,209,1
App Store,TV App Store,209,1
App Store,Mac App Store,209,1
App Store,Watch App Store,209,1
App Store,App Store ( r ),209,1
Apple App Store,Apple Store,209,1
Apple App Store,iOS App Store,209,1
Apple App Store,TV App Store,209,1
Apple App Store,Mac App Store,209,1
Apple App Store,Watch App Store,209,1
Apple App Store,App Store ( r ),209,1
Apple Store,iOS App Store,209,1
Apple Store,TV App Store,209,1
Apple Store,Mac App Store,209,1
Apple Store,Watch App Store,209,1
